,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,dzaoudzi,-12.79,45.27,77.0,78,36,3.36,YT,1601931991
321,qaqortoq,60.72,-46.03,33.8,74,68,2.24,GL,1601931991
322,abha,18.22,42.51,66.2,82,0,4.7,SA,1601931992
323,raipur,21.23,81.63,75.54,93,100,3.36,IN,1601931992
324,kieta,-6.22,155.63,81.55,75,75,0.72,PG,1601931992
325,alpena,45.06,-83.43,59.0,47,1,13.87,US,1601931992
326,teeli,51.03,90.23,34.95,83,99,0.78,RU,1601931992
327,richards bay,-28.78,32.04,69.04,82,100,12.1,ZA,1601931993
328,egvekinot,66.32,-179.17,27.9,92,11,3.36,RU,1601931993
329,worland,44.02,-107.96,73.99,18,1,6.93,US,1601931788
330,coquimbo,-29.95,-71.34,60.8,59,98,10.29,CL,1601931899
331,benguela,-12.58,13.41,73.47,79,86,3.76,AO,1601931993
332,san vicente,-26.62,-54.13,81.75,43,0,4.47,AR,1601931993
333,uvat,59.14,68.9,31.37,97,30,7.65,RU,1601931994
334,portland,45.52,-122.68,71.01,63,1,6.93,US,1601931757
335,los llanos de aridane,28.66,-17.92,71.6,78,90,12.75,ES,1601931994
336,mandurah,-32.55,115.7,48.0,73,41,13.94,AU,1601931738
337,kaspiyskiy,45.39,47.37,59.29,73,0,12.86,RU,1601931994
338,flagstaff,35.2,-111.65,80.01,8,1,11.41,US,1601931994
339,kutum,14.2,24.67,81.64,26,49,5.7,SD,1601931994
340,quatre cocos,-20.21,57.76,73.0,88,75,8.05,MU,1601931995
341,udachnyy,66.42,112.4,32.0,86,90,8.95,RU,1601931995
342,baruun-urt,46.68,113.28,26.62,83,0,2.98,MN,1601931995
343,berbera,10.44,45.01,86.38,60,0,7.18,SO,1601931995
344,upernavik,72.79,-56.15,25.07,89,13,4.79,GL,1601931995
345,berlevag,70.86,29.09,41.0,100,75,5.82,NO,1601931995
346,eureka,40.8,-124.16,64.4,93,90,4.7,US,1601931836
347,bolitoc,15.74,119.88,79.34,79,67,3.27,PH,1601931996
348,kaoma,-14.78,24.8,74.48,29,30,3.27,ZM,1601931996
349,broken hill,-31.95,141.43,53.6,62,90,13.87,AU,1601931996
350,yagodnoye,62.55,149.67,23.31,77,0,2.35,RU,1601931996
351,upata,8.01,-62.4,90.0,64,90,4.0,VE,1601931996
352,carmen,18.63,-91.83,84.2,62,75,8.05,MX,1601931997
353,asyut,27.18,31.18,75.49,32,0,6.22,EG,1601931997
354,kyren,51.68,102.14,35.26,80,39,0.85,RU,1601931997
355,aleksandrovsk-sakhalinskiy,50.9,142.16,49.98,83,100,18.81,RU,1601931997
356,gizo,-8.1,156.84,82.74,72,56,5.17,SB,1601931997
357,whitehorse,60.72,-135.05,48.0,70,75,14.99,CA,1601931997
358,nome,64.5,-165.41,42.01,64,40,6.93,US,1601931997
359,sibolga,1.74,98.78,76.78,83,100,2.44,ID,1601931998
360,lyubinskiy,55.15,72.69,33.8,59,40,8.95,RU,1601931998
361,rio gallegos,-51.62,-69.22,55.4,37,40,26.4,AR,1601931764
362,yarmouth,41.71,-70.23,62.01,75,5,9.55,US,1601931963
363,sawtell,-30.38,153.1,68.0,77,0,9.17,AU,1601931998
364,erenhot,43.65,111.98,41.04,55,0,7.49,CN,1601931910
365,north battleford,52.78,-108.28,60.8,41,40,19.46,CA,1601931999
366,jiangkou,25.49,119.2,71.6,64,40,15.66,CN,1601931999
367,port lincoln,-34.73,135.87,50.32,74,1,14.83,AU,1601931999
368,islamkot,24.7,70.18,82.67,58,0,11.65,PK,1601931999
369,merida,20.97,-89.62,82.0,83,75,14.99,MX,1601931741
370,gamba,-2.65,10.0,77.13,86,100,8.77,GA,1601932000
371,nicoya,10.15,-85.45,82.4,83,75,13.87,CR,1601932000
372,moose factory,51.26,-80.61,50.0,76,90,19.46,CA,1601932000
373,rawson,-43.3,-65.1,67.68,25,24,12.95,AR,1601932000
374,taperoa,-7.21,-36.83,78.76,49,52,18.21,BR,1601932000
375,swellendam,-34.02,20.44,60.8,87,0,2.24,ZA,1601932000
376,hun,29.13,15.95,84.51,15,1,8.59,LY,1601932000
377,vershino-darasunskiy,52.35,115.52,23.95,88,0,1.99,RU,1601932001
378,da nang,16.07,108.22,78.8,83,75,1.12,VN,1601932001
379,kiria,41.1,24.28,73.99,83,20,3.33,GR,1601932001
380,sao filipe,14.9,-24.5,78.03,65,1,5.5,CV,1601932001
381,samarai,-10.62,150.67,78.1,85,100,17.45,PG,1601932001
382,agirish,61.92,63.02,36.18,88,33,9.62,RU,1601932001
383,kroya,-7.63,109.25,62.01,86,100,9.35,ID,1601932002
